title,Country.Name,year,status,type,target
Feed-in Tariffs for RES and Investment Aid for Small PV,Switzerland,2009 (last amended 2014),In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Economic Instruments>Direct investment","Wind>Onshore, Bioenergy>Biomass for power, Geothermal, Hydropower, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Fiscal incentive for users heating up water with solar panels (Mexico City),Mexico,2009 (last amended 2012),In Force,Economic Instruments>Fiscal/financial incentives,Solar>Solar photovoltaic
Feed-in tariff for Solar PV,Greece,2009 (amended in 2010),In Force,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Solar>Solar photovoltaic
The Law About Support the Use of Renewable Energy Sources (amended),Kazakhstan,2009 (amended 2013),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Cooling"
Feed-in-tariffs for Solar PV and Wind sourced power,Israel,2009 (adjusted 2011),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Solar>Solar photovoltaic, Solar Thermal"
Fund for the Energy Transition and Sustainable Electricity Use,Mexico,2009 (Sept 1st),In Force,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme","Multiple RE Sources, Multiple RE Sources>All"
Guarantee scheme for geothermal energy,Netherlands,2009 (October),In Force,Economic Instruments>Fiscal/financial incentives,Geothermal
"Moroccan Agency for Solar Energy ""MASEN"" (Law 57.09)",Morocco,2009 (Oct 1st),In Force,Policy Support>Institutional creation,"Solar>Solar photovoltaic>Commercial, Solar Thermal>Solar thermal electricity (STE)"
Wider use of renewable energy sources in energy production,Estonia,2009 (March 24th),In Force,Economic Instruments>Direct investment>Infrastructure investments,"Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Regulations Regarding Electricity Production and Price Determination Upon Production of Electricity in Cogeneration,Latvia,2009 (March 18th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>CHP"
Law on Promotion of Biological Fuels Production and Use (No. 1391-VI),Ukraine,2009 (Mai 21st),In Force,"Regulatory Instruments, Policy Support",Bioenergy>Biofuels for transport
National Development Plan of the Energy Sector until 2020,Estonia,2009 (June 15th),In Force,"Policy Support>Strategic planning, Research, Development and Deployment (RD&D)",Multiple RE Sources>All
National Strategy for Green Growth,Korea,2009 (July),In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All"
Climate change financial instrument (CCFI),Latvia,2009 (July 18th),In Force,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D)","Multiple RE Sources, Multiple RE Sources>All"
State Agency for Alternative and Renewable Energy Sources,Azerbaijan,2009 (July 16th),In Force,Policy Support>Institutional creation,"Multiple RE Sources, Multiple RE Sources>All"
Green New Deal,Korea,2009 (Jan 6th),Ended,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
Tariffs for Small and Medium Scale Power Generation using Renewable Energy (No. 31/2009),Indonesia,2009 (December),Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources>Power, Multiple RE Sources, Bioenergy, Hydropower"
Regulation on the Energy Performance of Buildings,Cyprus,2009 (Dec. 31st),In Force,Regulatory Instruments>Codes and standards,"Solar, Solar Thermal"
Special Programme for the Use of Renewable Energy 2008-2012,Mexico,2009 (August 7th),Ended,"Regulatory Instruments>Codes and standards, Information and Education>Information provision, Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Strategic planning, Economic Instruments>Direct investment>Infrastructure investments, Regulatory Instruments",Multiple RE Sources
Renewable Energy diversification (Fiscal Incentives Law),Uruguay,2009 (August 3rd),In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes",Multiple RE Sources
Wind power auctions (403-2009),Uruguay,2009 (August 24th),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources
Concession Framework Law for the Use of Hydraulic Forces for Hydroelectric Generation (Ley Marco de Concesión para el Aprovechamiento de las Fuerzas Hidráulicas para la Generación Hidroeléctrica),Costa Rica,2009 (April 22nd),In Force,"Economic Instruments, Economic Instruments>Direct investment",Hydropower
Tax relief for renewable energy investors,Belarus,2009,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives","Multiple RE Sources, Multiple RE Sources>All"
Decree on rules of selling renewable electricity to the Tunisian Company of Electricity and Gas (STEG),Tunisia,2009,In Force,"Policy Support, Regulatory Instruments, Economic Instruments, Regulatory Instruments>Codes and standards","Multiple RE Sources>All, Bioenergy, Solar>Solar photovoltaic, Wind"
Law 2009-7 on Energy Efficiency: Renewable Energy Provisions,Tunisia,2009,In Force,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Institutional creation, Regulatory Instruments>Monitoring, Regulatory Instruments>Auditing, Regulatory Instruments","Multiple RE Sources>All, Multiple RE Sources"
Tunisian Solar Plan (PST) 2010-2016,Tunisia,2009,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Policy Support, Policy Support>Institutional creation, Policy Support>Strategic planning, Economic Instruments>Direct investment>Infrastructure investments, Voluntary Approaches>Unilateral Commitments (Private sector)","Wind>Onshore, Solar, Solar>Solar photovoltaic, Solar Thermal, Wind"
Decree 2009/362 on Renewable Energy and Energy Efficiency Premiums,Tunisia,2009,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Solar Thermal, Multiple RE Sources, Multiple RE Sources>Heating, Multiple RE Sources>Power, Solar"
Research for energy efficiency and renewable energy in urban areas,Italy,2009,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
"Biofuel Supply, Utilization and Trading (Ministerial Regulation No. 32/2008)",Indonesia,2009,Superseded,Regulatory Instruments>Codes and standards,Bioenergy>Biomass for power
Ökostromverordnung 2009 (2009 feed-in tariffs for green electricity),Austria,2009,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>CHP, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Sustainable Energy Framework for Barbados,Barbados,2009,Ended,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation",Multiple RE Sources
Renewable energy Development Plan (REDP) 2008-2022,Thailand,2009,In Force,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Wind, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Hydropower, Solar, Solar Thermal"
Law 03 on Energy Conservation,Syria,2009,In Force,"Regulatory Instruments>Auditing, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion",Multiple RE Sources>All
Karnataka Renewable Energy Policy 2009-2014,India,2009,In Force,"Economic Instruments>Fiscal/financial incentives>User charges, Policy Support>Strategic planning",Multiple RE Sources>Power
Electric power auctions - Wind,Brazil,2009,In Force,Regulatory Instruments,Wind>Onshore
New regulatory framework for administrative procedures for renewable energy facilities,Spain,2009,In Force,Regulatory Instruments,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>Power, Ocean, Solar, Solar Thermal"
Integrated Resource Plan for Electricity (IRP),South Africa,2009,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All, Solar Thermal>Solar heat"
10th National Development Plan 2009-2016 (NDP10),Botswana,2009,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All"
Karnataka Renewable Energy Policy 2009-2014,India,2009,Ended,"Policy Support>Strategic planning, Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Fiscal/financial incentives>User charges",Solar>Solar photovoltaic
Investment Aid for Solar Photovoltaic Cells Connected to the Grid,Sweden,2009,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
"An integrated climate and energy policy framework: ""A sustainable energy and climate policy for the environment, competitiveness and long-term stability""",Sweden,2009,Ended,Policy Support>Strategic planning,Multiple RE Sources
Australian Capital Territory Electricity Feed-In Tariff Scheme,Australia,2009,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>All, Ocean, Solar, Solar Thermal, Solar>Solar photovoltaic, Multiple RE Sources>Power"
Renewable energy targets and promotion policy,Israel,2009,In Force,"Regulatory Instruments, Policy Support, Policy Support>Strategic planning","Solar>Solar photovoltaic, Multiple RE Sources>Power, Solar"
Combined Heat and Power Law (CHP Law - KWK Gesetz),Austria,2009,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Multiple RE Sources>CHP
Renewable Energy Demonstration Program (REDP),Australia,2009,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development","Multiple RE Sources, Bioenergy, Geothermal, Solar, Ocean"
Electricity Law (No. 30/2009),Indonesia,2009,In Force,Policy Support,Multiple RE Sources
Green Loans Programme for Households,Australia,2009,Ended,"Economic Instruments>Fiscal/financial incentives>Loans, Information and Education>Advice/Aid in Implementation",Solar
Climate Showcase Communities Grant Program,United States,2009,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Direct investment>Funds to sub-national governments","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Enterprise Connect,Australia,2009,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources
Small Power Producers (SPP) Framework,United Republic of Tanzania,2009,In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives","Solar, Wind, Bioenergy, Hydropower"
Final Rule on Renewable Energy and Alternate Uses of Existing Facilities on the Outer Continental Shelf,United States,2009,Superseded,"Regulatory Instruments>Other mandatory requirements, Research, Development and Deployment (RD&D)>Research programme >Technology development","Wind>Offshore, Ocean, Ocean>Tidal, Ocean>Wave"
American Recovery and Reinvestment Act of 2009: Tax-Based Provisions,United States,2009,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Tax relief","Wind, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal, Hydropower, Multiple RE Sources>All, Multiple RE Sources>Heating, Multiple RE Sources>Power, Ocean, Solar>Solar photovoltaic, Solar Thermal"
